    40/299     4.76G     0.035   0.02073    0.0024   0.05813        34       640    0.8509    0.7981    0.8725    0.4794   0.04899   0.02546     0.016
    41/299     4.76G   0.03477   0.02031  0.002474   0.05756        19       640    0.8667    0.8266    0.8848    0.4799   0.04848   0.02621   0.01484
    42/299     4.76G   0.03468   0.02052  0.002364   0.05757        28       640    0.8716    0.8146    0.8811    0.4768   0.04848   0.02595   0.01503
    43/299     4.76G   0.03475   0.02009   0.00245   0.05729         8       640    0.8729    0.8319    0.8905    0.4726   0.04841   0.02584    0.0149
    44/299     4.76G   0.03461   0.02057  0.002406   0.05759        15       640    0.8692    0.8254    0.8939    0.4897   0.04812   0.02571   0.01453
    45/299     4.76G   0.03458   0.02076  0.002312   0.05766        36       640    0.9133    0.8117    0.8898    0.4744   0.04764    0.0265   0.01442
    46/299     4.76G    0.0344   0.02037  0.002341   0.05711        69       640    0.8678    0.8203    0.8777    0.4695   0.04835   0.02639   0.01343
    47/299     4.76G   0.03411   0.02032  0.002367   0.05679        26       640    0.8585    0.8489    0.8884    0.4892   0.04732   0.02618   0.01461
    48/299     4.76G   0.03405   0.02024  0.002174   0.05646        55       640     0.881    0.8356    0.8977    0.4916   0.04842   0.02607   0.01441
    49/299     4.76G   0.03403   0.02032  0.002283   0.05663        41       640    0.8855    0.8288    0.8893    0.4917   0.04714    0.0264   0.01417
    50/299     4.76G   0.03394   0.02012  0.002252   0.05632        20       640    0.8963    0.8164     0.883    0.4778   0.04695   0.02669   0.01399
    51/299     4.76G    0.0342   0.02059  0.002381   0.05716        65       640    0.9007    0.8296    0.8864    0.4897   0.04668   0.02691   0.01447
    52/299     4.76G   0.03401   0.02007  0.002295   0.05638        11       640    0.9172    0.8133     0.889    0.4948   0.04694   0.02669   0.01342
    53/299     4.76G   0.03409   0.02021  0.002332   0.05663         4       640    0.8839    0.8181    0.8794    0.4889   0.04771   0.02671   0.01491
    54/299     4.76G   0.03348   0.01999   0.00218   0.05565        13       640    0.8631    0.8165    0.8843    0.4848   0.04759   0.02646   0.01395
    55/299     4.76G   0.03367   0.02026  0.002148   0.05608        22       640    0.8889    0.8246    0.8901    0.4934   0.04748   0.02696   0.01379
    56/299     4.76G   0.03359   0.02008    0.0022   0.05587        13       640    0.9133    0.8304    0.8848    0.4907   0.04706   0.02711   0.01398
    57/299     4.76G   0.03345   0.02001  0.002091   0.05555         8       640    0.8413    0.8555    0.8812    0.4926   0.04731   0.02655   0.01343
    58/299     4.76G   0.03346   0.02003    0.0022   0.05569        56       640    0.8975    0.8061    0.8884    0.4985   0.04674   0.02738   0.01424
    59/299     4.76G   0.03338   0.01972   0.00217   0.05527        40       640    0.8804    0.8357    0.8956    0.4968   0.04635   0.02725   0.01351
    60/299     4.76G    0.0332   0.01941  0.002116   0.05473         4       640    0.8784    0.8481    0.8927    0.5105   0.04584   0.02666   0.01326
    61/299     4.76G   0.03311   0.01983  0.002042   0.05499         5       640    0.8926    0.8172    0.8915    0.5078    0.0456   0.02694   0.01319
    62/299     4.76G   0.03332   0.02006  0.002119    0.0555        24       640    0.8985    0.8589    0.9025    0.5157    0.0453   0.02671   0.01321
    63/299     4.76G   0.03325   0.01985  0.002054   0.05516        26       640    0.8973    0.8151    0.8877    0.5029   0.04596    0.0274   0.01371
    64/299     4.76G    0.0327   0.01949   0.00197   0.05415        30       640    0.8826    0.8524    0.9094    0.5084   0.04537   0.02665   0.01307
    65/299     4.76G   0.03271   0.01986  0.002018   0.05459         2       640    0.8796    0.8576    0.9069     0.513   0.04452   0.02739   0.01325
    66/299     4.76G   0.03271   0.01991  0.001917   0.05454        25       640    0.9023    0.8482    0.9103    0.5096   0.04485    0.0272   0.01352
    67/299     4.76G   0.03275   0.01977  0.002021   0.05453        21       640    0.9166    0.8228    0.9142    0.5116   0.04465   0.02676   0.01279
    68/299     4.76G   0.03278   0.01987  0.002053    0.0547        67       640    0.8762    0.8685    0.9156    0.5264   0.04414    0.0271   0.01345
    69/299     4.76G   0.03258   0.01956   0.00198   0.05412        19       640    0.8853    0.8659    0.9144    0.5243    0.0445   0.02687   0.01359
    70/299     4.76G   0.03248   0.01934  0.001873   0.05369         7       640    0.8739    0.8672    0.9153    0.5182   0.04483   0.02719   0.01353
    71/299     4.76G   0.03252   0.01973  0.001971   0.05422        21       640    0.8853    0.8464    0.9121    0.5222   0.04412    0.0264   0.01347
    72/299     4.76G   0.03278   0.01971  0.002006   0.05449        14       640     0.899    0.8487    0.9162    0.5203   0.04368   0.02716   0.01297
    73/299     4.76G   0.03253   0.01939  0.002042   0.05396        48       640    0.9084    0.8375    0.9133    0.5153   0.04429   0.02686   0.01313
